date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:58:26	23083/23083	---M--	200	added ('OK')	image/png	etag:%228051d6e1134cb1:1158%22	http://img1.wsimg.com/fos/btn/1/hppods_sprite5.png	C:/My%20Web%20Sites/Go%20Daddy/img1.wsimg.com/fos/btn/1/hppods_sprite5.png	(from )
11:58:26	312/312	---M--	200	added ('OK')	image/png	etag:%22eac540baad9eca1:d25%22	http://img1.wsimg.com/gdtv/btn/connection_low_active_grn.png	C:/My%20Web%20Sites/Go%20Daddy/img1.wsimg.com/gdtv/btn/connection_low_active_grn.png	(from )
11:58:26	179/179	---M--	200	added ('OK')	image/png	etag:%22da31d5b4ad9eca1:bb0%22	http://img1.wsimg.com/gdtv/btn/connection_over_high_grn.png	C:/My%20Web%20Sites/Go%20Daddy/img1.wsimg.com/gdtv/btn/connection_over_high_grn.png	(from )
11:58:27	73820/73820	---M--	200	added ('OK')	image/png	etag:%2202e1b39dfeca1:1158%22	http://img1.wsimg.com/fos/btn/1/46884%20_comm_thumbnail_sprite.png	C:/My%20Web%20Sites/Go%20Daddy/img1.wsimg.com/fos/btn/1/46884%20_comm_thumbnail_sprite.png	(from )
11:58:27	174/174	---M--	200	added ('OK')	image/png	etag:%22dafbc5bdad9eca1:bb0%22	http://img1.wsimg.com/gdtv/btn/connection_over_low_grn.png	C:/My%20Web%20Sites/Go%20Daddy/img1.wsimg.com/gdtv/btn/connection_over_low_grn.png	(from )
11:58:27	1067/1067	---M--	200	added ('OK')	image/gif	etag:%220d3f4241ceeca1:bb0%22	http://img1.wsimg.com/fos/icn/1/img_freetag_45682.gif	C:/My%20Web%20Sites/Go%20Daddy/img1.wsimg.com/fos/icn/1/img_freetag_45682.gif	(from )
11:58:27	1578/1578	---M--	200	added ('OK')	image/gif	etag:%22463ae88d799ec91:bb0%22	http://img1.wsimg.com/fos/btn/1/btn_buynow2.gif	C:/My%20Web%20Sites/Go%20Daddy/img1.wsimg.com/fos/btn/1/btn_buynow2.gif	(from )
11:58:28	6681/6681	---M--	200	added ('OK')	image/png	etag:%220fe2f14acfeca1:d25%22	http://img1.wsimg.com/fos/icn/1/46709_icons.png	C:/My%20Web%20Sites/Go%20Daddy/img1.wsimg.com/fos/icn/1/46709_icons.png	(from )
11:58:28	2238/2238	---M--	200	added ('OK')	image/x-icon	etag:%2205ccf6324d5c51:b81%22	http://img1.wsimg.com/assets/godaddy.ico	C:/My%20Web%20Sites/Go%20Daddy/img1.wsimg.com/assets/godaddy.ico	(from )
11:58:29	57254/57254	---M--	200	added ('OK')	application/x-javascript	etag:%22e44cf9bad563ca1:1043%22	http://img3.wsimg.com/AtlantisScripts/jquery/jquery-1.3.2.min.js	C:/My%20Web%20Sites/Go%20Daddy/img3.wsimg.com/AtlantisScripts/jquery/jquery-1.3.2.min.js	(from )
11:58:30	43/43	---M--	200	added ('OK')	image/gif	date:Tue,%2001%20Mar%202011%2014:58:29%20GMT	http://img.godaddy.com/image.aspx?sitename=www.godaddy.com&server=M1PWCORPWEB153&privatelabelid=1&status=200&rand=0.844059362003607&page=%2fdefault.aspx&split=84	C:/My%20Web%20Sites/Go%20Daddy/img.godaddy.com/imagee279.gif	(from )
11:58:30	28491/28491	---M--	200	added ('OK')	application/x-javascript	etag:%22ec26caa4c4c3cb1:d9f%22	http://img3.wsimg.com/pc/js/1/gd_js_20110203.min.js	C:/My%20Web%20Sites/Go%20Daddy/img3.wsimg.com/pc/js/1/gd_js_20110203.min.js	(from )
